읍면동,아파트,세대수,입주년월,Apt_name,number,floor,confirm_date,car,FAR,BC,con,heat,code,lat,long,type_capacity1,area1,room1,toilet1,structure1,n_this_area1,type_capacity2,area2,room2,toilet2,structure2,n_this_area2,type_capacity3,area3,room3,toilet3,structure3,n_this_area3,type_capacity4,area4,room4,toilet4,structure4,n_this_area4,type_capacity5,area5,room5,toilet5,structure5,n_this_area5,type_capacity6,area6,room6,toilet6,structure6,n_this_area6,type_capacity7,area7,room7,toilet7,structure7,n_this_area7,type_capacity8,area8,room8,toilet8,structure8,n_this_area8,type_capacity9,area9,room9,toilet9,structure9,n_this_area9,type_capacity10,area10,room10,toilet10,structure10,n_this_area10
성수동1가,서울숲대림,178,2000.1,서울숲대림,372세대(총6개동),8층/15층,2000년 10월 27일,380대(세대당 1.02대),281%,27%,대림산업주식회사,"개별난방, 도시가스",3530,37.541984,127.045232,83㎡,83.25㎡/59.88㎡(전용률 72%),3개,1개,복도식,178세대,94㎡,94.22㎡/77.47㎡(전용률 82%),3개,2개,계단식,6세대,98㎡,98.5㎡/80.98㎡(전용률 82%),3개,2개,계단식,4세대,102㎡,102.61㎡/84.01㎡(전용률 82%),3개,2개,계단식,184세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,서울숲더샵,78,2014.09,서울숲더샵,495세대(총3개동),38층/42층,2014년 09월 16일,937대(세대당 1.89대),392%,34%,주식회사 포스코건설,"개별난방, 도시가스",103112,37.55626,127.040138,119B㎡,119.16㎡/84.18㎡(전용률 71%),3개,2개,계단식,105세대,120A㎡,120.01㎡/84.06㎡(전용률 70%),3개,2개,계단식,78세대,130A㎡,130.68㎡/92.08㎡(전용률 70%),3개,2개,계단식,78세대,131B㎡,131.23㎡/92.24㎡(전용률 70%),3개,2개,계단식,79세대,143㎡,143.77㎡/101.45㎡(전용률 71%),3개,2개,계단식,79세대,161B㎡,161.73㎡/114.4㎡(전용률 71%),3개,2개,계단식,26세대,,,,,,,210㎡,210.81㎡/150.2㎡(전용률 71%),4개,2개,계단식,26세대,,,,,,,,,,,,
행당동,서울숲리버뷰자이,222,2018.06,서울숲리버뷰자이,"1034세대(임대 176세대 포함, 총7개동)",22층/39층,2018년 06월 22일,1356대(세대당 1.31대),280%,19%,지에스건설(주),"개별난방, 도시가스",111258,37.555687,127.038379,84㎡,84.9㎡/59.97㎡(전용률 71%),3개,2개,계단식,150세대,109A㎡,109.11㎡/84.96㎡(전용률 78%),3개,2개,계단식,222세대,110D㎡,110.62㎡/84.98㎡(전용률 77%),3개,2개,계단식,68세대,110C㎡,110.68㎡/84.95㎡(전용률 77%),3개,2개,계단식,66세대,111B㎡,111.15㎡/84.9㎡(전용률 76%),3개,2개,계단식,222세대,140A㎡,140.89㎡/108.82㎡(전용률 77%),4개,2개,계단식,60세대,,,,,,,165㎡,165.44㎡/128.52㎡(전용률 78%),4개,2개,계단식,30세대,169PH㎡,169.76㎡/130.69㎡(전용률 77%),4개,2개,계단식,6세대,186A-PH㎡,186.03㎡/141.87㎡(전용률 76%),5개,3개,계단식,2세대
행당동,서울숲삼부,150,1998.07,서울숲삼부,498세대(총7개동),9층/15층,1998년 07월 15일,567대(세대당 1.13대),253%,26%,삼부토건주식회사,"개별난방, 도시가스",575,37.559879,127.037499,81㎡,81.77㎡/67.92㎡(전용률 83%),3개,1개,계단식,48세대,101A㎡,101.23㎡/84.09㎡(전용률 83%),3개,2개,계단식,150세대,102B㎡,102.23㎡/84.93㎡(전용률 83%),3개,2개,계단식,150세대,146㎡,146.88㎡/122.01㎡(전용률 83%),4개,2개,계단식,150세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
송정동,서울숲아이파크,15,2008.12,서울숲IPARK,"241세대(임대 34세대 포함, 총6개동)",10층/15층,2009년 03월 12일,286대(세대당 1.18대),209%,23%,현대산업개발(주),"개별난방, 도시가스",27132,37.5525,127.069,84㎡,84.4㎡/64.21㎡(전용률 76%),3개,2개,복합식,4세대,100㎡,100.86㎡/75.51㎡(전용률 75%),3개,2개,복합식,11세대,112A㎡,112.44㎡/84.87㎡(전용률 75%),3개,2개,복합식,89세대,112E㎡,112.63㎡/84.88㎡(전용률 75%),3개,2개,복합식,39세대,112C㎡,112.14㎡/84.87㎡(전용률 76%),3개,2개,복합식,14세대,112B㎡,112.34㎡/84.88㎡(전용률 76%),3개,2개,복합식,13세대,,,,,,,152㎡,152.89㎡/116.58㎡(전용률 76%),4개,2개,복합식,29세대,,,,,,,,,,,,
금호동4가,서울숲푸르지오,267,2007.07,서울숲푸르지오1차,888세대(총19개동),4층/18층,2007년 07월 31일,1029대(세대당 1.15대),228%,22%,(주)대우건설,"개별난방, 도시가스",18541,37.544958,127.02221,73㎡,73.07㎡/59.99㎡(전용률 82%),3개,1개,계단식,267세대,76A㎡,76.26㎡/59.9㎡(전용률 79%),3개,2개,계단식,46세대,76B㎡,76.26㎡/59.9㎡(전용률 79%),3개,2개,계단식,28세대,77㎡,77.67㎡/59.39㎡(전용률 76%),3개,2개,계단식,28세대,102B1㎡,102.79㎡/84.87㎡(전용률 83%),3개,2개,계단식,232세대,102A2㎡,102.69㎡/84.6㎡(전용률 82%),3개,2개,계단식,42세대,,,,,,,103A1㎡,103.06㎡/84.55㎡(전용률 82%),3개,2개,계단식,26세대,125㎡,125.65㎡/106.06㎡(전용률 84%),3개,2개,계단식,2세대,135A㎡,135.57㎡/114.8㎡(전용률 85%),4개,2개,계단식,85세대
금호동4가,서울숲푸르지오2차,108,2012.08,서울숲푸르지오2차,"707세대(기타임대 121세대 포함, 총12개동)",9층/15층,2012년 08월 16일,672대(세대당 0.95대),226%,22%,(주)대우건설,"개별난방, 도시가스",101322,37.546451,127.024019,77B㎡,77.69㎡/59.86㎡(전용률 77%),3개,2개,계단식,108세대,77C㎡,77.6㎡/59.9㎡(전용률 77%),3개,2개,계단식,100세대,77A㎡,77.94㎡/59.83㎡(전용률 77%),3개,2개,계단식,63세대,108C㎡,108.84㎡/84.92㎡(전용률 78%),3개,2개,계단식,30세대,109B㎡,109.52㎡/84.77㎡(전용률 77%),3개,2개,계단식,119세대,110A㎡,110㎡/84.89㎡(전용률 77%),3개,2개,계단식,108세대,146㎡,146.05㎡/114.77㎡(전용률 79%),4개,2개,계단식,58세대,,,,,,,,,,,,,,,,,,
행당동,서울숲한신더휴,630,2003.12,서울숲한신더휴,1410세대(총20개동),7층/25층,2003년 12월 23일,1535대(세대당 1.08대),295%,18%,(주)한신공영,"개별난방, 도시가스",2977,37.554894,127.03661,80B㎡,80.99㎡/59.94㎡(전용률 74%),2개,1개,계단식,188세대,81A㎡,81.27㎡/59.91㎡(전용률 74%),3개,2개,계단식,282세대,108㎡,108.56㎡/84.95㎡(전용률 78%),3개,2개,계단식,630세대,142㎡,142.42㎡/114.97㎡(전용률 81%),4개,2개,계단식,310세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행당동,서울숲행당푸르지오,165,2011.05,서울숲행당푸르지오,457세대(총9개동),9층/15층,2011년 05월 02일,539대(세대당 1.17대),224%,24%,(주)대우건설,"개별난방, 도시가스",27044,37.5559,127.03351,79㎡,79.53㎡/59.68㎡(전용률 75%),3개,2개,계단식,143세대,82㎡,82.97㎡/59.81㎡(전용률 72%),3개,2개,계단식,48세대,111B㎡,111.38㎡/84.74㎡(전용률 76%),3개,2개,계단식,165세대,111A㎡,111.11㎡/84.81㎡(전용률 76%),3개,2개,계단식,50세대,143㎡,143.75㎡/114.33㎡(전용률 80%),4개,2개,계단식,51세대,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성수동2가,서울숲힐스테이트,67,2009.06,서울숲힐스테이트,445세대(총5개동),18층/29층,2009년 06월 01일,800대(세대당 1.79대),249%,15%,현대건설(주),"개별난방, 도시가스",27424,37.5418,127.052578,60㎡,60.07㎡/42.22㎡(전용률 70%),2개,1개,계단식,19세대,79C㎡,79.96㎡/57.46㎡(전용률 72%),3개,2개,계단식,21세대,80A㎡,80㎡/57.03㎡(전용률 71%),3개,2개,계단식,21세대,81B㎡,81.57㎡/57.49㎡(전용률 70%),3개,2개,계단식,36세대,117B㎡,117.9㎡/84.78㎡(전용률 72%),3개,2개,계단식,21세대,117C㎡,117.9㎡/84.78㎡(전용률 72%),3개,2개,계단식,21세대,117A㎡,117.9㎡/84.78㎡(전용률 72%),3개,2개,계단식,19세대,117D㎡,117.16㎡/84.26㎡(전용률 72%),3개,2개,계단식,18세대,151A㎡,151.4㎡/117.13㎡(전용률 77%),4개,2개,계단식,67세대,151B1㎡,151.4㎡/117.13㎡(전용률 77%),4개,2개,계단식,48세대
